Name,Field,Squid_x,Squid_y,Squid_z
1,0,4.92E-05,-2.67E-05,1.16E-05
1,5,3.88E-05,-2.20E-05,9.81E-06
1,10,2.67E-05,-1.42E-05,6.70E-06
1,15,2.06E-05,-1.07E-05,4.33E-06
1,20,1.76E-05,-9.02E-06,4.25E-06
1,25,1.53E-05,-7.95E-06,2.99E-06
1,30,1.46E-05,-7.44E-06,2.42E-06
1,35,1.40E-05,-6.92E-06,2.27E-06
1,40,1.32E-05,-6.70E-06,2.56E-06
1,45,1.22E-05,-6.27E-06,2.74E-06
1,50,1.20E-05,-5.68E-06,2.30E-06
1,60,1.20E-05,-4.94E-06,1.32E-06
1,70,1.02E-05,-5.16E-06,4.93E-07
1,80,1.09E-05,-5.10E-06,4.63E-08
1,90,8.89E-06,-4.29E-06,2.38E-07
1,100,8.29E-06,-4.87E-06,-6.19E-07
2,0,-1.02E-05,1.50E-05,4.11E-05
2,5,-9.21E-06,1.11E-05,3.80E-05
2,10,-6.92E-06,8.23E-06,3.28E-05
2,15,-5.69E-06,6.85E-06,2.94E-05
2,20,-4.53E-06,6.02E-06,2.66E-05
2,25,-3.83E-06,5.26E-06,2.34E-05
2,30,-3.14E-06,4.26E-06,2.05E-05
2,35,-2.64E-06,4.36E-06,1.82E-05
2,40,-2.28E-06,3.19E-06,1.66E-05
2,45,-1.64E-06,2.72E-06,1.44E-05
2,50,-1.26E-06,2.52E-06,1.23E-05
2,60,-1.60E-06,1.86E-06,9.31E-06
2,70,-4.00E-07,1.76E-06,6.52E-06
2,80,-5.53E-07,1.79E-06,4.55E-06
2,90,-1.31E-07,1.42E-06,3.41E-06
2,100,-1.39E-07,1.28E-06,1.99E-06
3,0,3.38E-05,-1.39E-05,5.45E-05
3,5,2.41E-05,-1.07E-05,4.58E-05
3,10,1.13E-05,-4.96E-06,3.56E-05
3,15,5.83E-06,-2.36E-06,3.04E-05
3,20,3.11E-06,-1.72E-06,2.69E-05
3,25,2.48E-06,-1.20E-06,2.39E-05
3,30,2.19E-06,-1.02E-06,2.04E-05
3,35,1.26E-06,-7.93E-07,1.78E-05
3,40,9.61E-07,-2.82E-07,1.61E-05
3,45,7.81E-07,-5.18E-07,1.38E-05
3,50,2.03E-07,-8.04E-07,1.17E-05
3,60,5.02E-07,-9.75E-08,9.55E-06
3,70,7.04E-07,-1.12E-06,6.46E-06
3,80,-2.87E-08,-2.76E-07,4.53E-06
3,90,5.75E-08,-1.00E-06,3.57E-06
3,100,2.26E-08,-4.21E-07,2.91E-06
4,0,3.72E-05,-5.57E-06,2.65E-05
4,5,2.61E-05,-2.35E-06,2.39E-05
4,10,1.45E-05,7.54E-07,1.85E-05
4,15,1.02E-05,1.76E-06,1.47E-05
4,20,8.61E-06,2.01E-06,1.25E-05
4,25,7.39E-06,2.05E-06,1.03E-05
4,30,6.39E-06,1.94E-06,8.56E-06
4,35,5.54E-06,1.74E-06,7.29E-06
4,40,5.06E-06,1.72E-06,6.14E-06
4,45,4.20E-06,1.82E-06,5.06E-06
4,50,3.90E-06,1.72E-06,3.99E-06
4,60,3.32E-06,1.21E-06,2.99E-06
4,70,2.28E-06,1.24E-06,1.71E-06
4,80,2.58E-06,9.03E-07,1.20E-06
4,90,2.16E-06,7.29E-07,2.89E-07
4,100,1.76E-06,5.38E-07,5.84E-07
5,0,3.54E-05,-1.07E-05,2.93E-05
5,5,2.47E-05,-7.48E-06,2.63E-05
5,10,1.69E-05,-2.98E-06,2.15E-05
5,15,1.41E-05,-1.26E-06,1.78E-05
5,20,1.27E-05,-7.51E-07,1.51E-05
5,25,1.11E-05,-2.19E-07,1.33E-05
5,30,9.79E-06,-4.15E-07,1.14E-05
5,35,8.66E-06,-2.04E-07,9.94E-06
5,40,7.72E-06,-5.19E-07,8.64E-06
5,45,6.87E-06,-3.62E-07,7.31E-06
