Name,AF (mT),x (emu),y (emu),z (emu)
651,0,-1.61E-06,7.94E-07,9.87E-06
651,2.5,-1.47E-06,8.00E-07,8.64E-06
651,5,-1.36E-06,8.89E-07,7.42E-06
651,7.5,-1.44E-06,4.93E-07,6.70E-06
651,10,-1.46E-06,7.31E-07,5.64E-06
651,12.5,-1.07E-06,9.52E-07,5.06E-06
651,15,-9.24E-07,6.56E-07,4.72E-06
651,17.5,-1.01E-06,8.34E-07,4.66E-06
651,20,-1.18E-06,7.45E-07,4.05E-06
651,25,-1.22E-06,6.56E-07,3.44E-06
651,30,-1.26E-06,5.96E-07,2.82E-06
651,35,-1.29E-06,5.36E-07,2.64E-06
651,40,-1.22E-06,4.75E-07,2.46E-06
651,45,-1.14E-06,6.34E-07,2.27E-06
651,50,-1.06E-06,7.93E-07,1.68E-06
651,60,-5.22E-07,7.27E-07,5.03E-07
651,70,-3.69E-07,2.76E-07,5.30E-07
651,80,-4.86E-07,4.90E-07,5.44E-07
651,90,-6.04E-07,7.03E-07,4.86E-07
651,100,-6.80E-07,9.16E-07,4.28E-07
653,0,7.36E-07,-2.48E-06,9.26E-06
653,2.5,5.45E-07,-1.60E-06,7.86E-06
653,5,3.26E-07,-1.55E-06,6.71E-06
653,7.5,5.80E-07,-1.69E-06,5.92E-06
653,10,5.08E-07,-1.35E-06,5.30E-06
653,12.5,5.13E-07,-1.57E-06,4.78E-06
653,15,2.93E-07,-1.62E-06,4.38E-06
653,17.5,2.00E-07,-1.66E-06,3.98E-06
653,20,1.07E-07,-1.69E-06,3.58E-06
653,25,1.45E-08,-1.71E-06,3.22E-06
653,30,-1.32E-07,-1.74E-06,2.87E-06
653,35,-2.79E-07,-1.88E-06,2.51E-06
653,40,-4.26E-07,-2.03E-06,2.14E-06
653,45,-5.63E-07,-2.18E-06,1.77E-06
653,50,-7.00E-07,-1.77E-06,1.40E-06
653,60,-8.37E-07,-1.36E-06,1.31E-06
653,70,-9.50E-07,-9.43E-07,1.21E-06
653,80,-1.06E-06,-9.90E-07,1.11E-06
653,90,-1.18E-06,-1.04E-06,7.30E-07
