Depth (m),AF (mT),x (emu),y (emu),z (emu)
0.4521,0,-1.61E-06,7.94E-07,9.87E-06
0.4521,2.5,-1.47E-06,8.00E-07,8.64E-06
0.4521,5,-1.36E-06,8.89E-07,7.42E-06
0.4521,7.5,-1.44E-06,4.93E-07,6.70E-06
0.4521,10,-1.46E-06,7.31E-07,5.64E-06
0.4521,12.5,-1.07E-06,9.52E-07,5.06E-06
0.4521,15,-9.24E-07,6.56E-07,4.72E-06
0.4521,17.5,-1.01E-06,8.34E-07,4.66E-06
0.4521,20,-1.18E-06,7.45E-07,4.05E-06
0.4521,25,-1.22E-06,6.56E-07,3.44E-06
0.4521,30,-1.26E-06,5.96E-07,2.82E-06
0.4521,35,-1.29E-06,5.36E-07,2.64E-06
0.4521,40,-1.22E-06,4.75E-07,2.46E-06
0.4521,45,-1.14E-06,6.34E-07,2.27E-06
0.4521,50,-1.06E-06,7.93E-07,1.68E-06
0.4521,60,-5.22E-07,7.27E-07,5.03E-07
0.4521,70,-3.69E-07,2.76E-07,5.30E-07
0.4521,80,-4.86E-07,4.90E-07,5.44E-07
0.4521,90,-6.04E-07,7.03E-07,4.86E-07
0.4521,100,-6.80E-07,9.16E-07,4.28E-07
0.5041,0,7.36E-07,-2.48E-06,9.26E-06
0.5041,2.5,5.45E-07,-1.60E-06,7.86E-06
0.5041,5,3.26E-07,-1.55E-06,6.71E-06
0.5041,7.5,5.80E-07,-1.69E-06,5.92E-06
0.5041,10,5.08E-07,-1.35E-06,5.30E-06
0.5041,12.5,5.13E-07,-1.57E-06,4.78E-06
0.5041,15,2.93E-07,-1.62E-06,4.38E-06
0.5041,17.5,2.00E-07,-1.66E-06,3.98E-06
0.5041,20,1.07E-07,-1.69E-06,3.58E-06
0.5041,25,1.45E-08,-1.71E-06,3.22E-06
0.5041,30,-1.32E-07,-1.74E-06,2.87E-06
0.5041,35,-2.79E-07,-1.88E-06,2.51E-06
0.5041,40,-4.26E-07,-2.03E-06,2.14E-06
0.5041,45,-5.63E-07,-2.18E-06,1.77E-06
0.5041,50,-7.00E-07,-1.77E-06,1.40E-06
0.5041,60,-8.37E-07,-1.36E-06,1.31E-06
0.5041,70,-9.50E-07,-9.43E-07,1.21E-06
0.5041,80,-1.06E-06,-9.90E-07,1.11E-06
0.5041,90,-1.18E-06,-1.04E-06,7.30E-07
0.5041,100,-5.19E-07,-1.08E-06,3.51E-07
0.5301,0,-3.39E-06,-1.17E-06,1.43E-05
0.5301,2.5,-3.34E-06,-2.53E-07,1.23E-05
0.5301,5,-3.22E-06,-6.56E-07,1.05E-05
0.5301,7.5,-2.92E-06,-5.34E-07,9.14E-06
0.5301,10,-2.90E-06,-4.93E-07,7.82E-06
0.5301,12.5,-2.61E-06,-1.99E-07,6.93E-06
0.5301,15,-2.70E-06,-5.43E-07,6.39E-06
0.5301,17.5,-2.71E-06,-1.29E-06,5.78E-06
0.5301,20,-2.70E-06,-1.13E-06,4.91E-06
0.5301,25,-2.44E-06,-9.70E-07,4.03E-06
0.5301,30,-2.17E-06,-9.93E-07,3.16E-06
0.5301,35,-1.90E-06,-1.02E-06,2.79E-06
0.5301,40,-1.93E-06,-1.04E-06,2.42E-06
0.5301,45,-1.95E-06,-8.47E-07,2.05E-06
0.5301,50,-1.97E-06,-6.59E-07,1.83E-06
0.5301,60,-1.77E-06,-4.74E-07,1.63E-06
0.5301,70,-1.41E-06,-1.14E-07,1.25E-06
0.5301,80,-1.24E-06,2.80E-08,1.08E-06
0.5301,90,-1.06E-06,1.70E-07,9.83E-07
0.5301,100,-3.47E-07,3.13E-07,8.86E-07
0.6111,0,2.09E-06,-2.47E-06,2.28E-05
0.6111,2.5,1.97E-06,-2.13E-06,2.03E-05
0.6111,5,2.10E-06,-2.06E-06,1.76E-05
0.6111,7.5,1.77E-06,-1.36E-06,1.44E-05
0.6111,10,1.20E-06,-2.06E-06,1.18E-05
0.6111,12.5,8.90E-07,-1.98E-06,1.04E-05
0.6111,15,9.20E-07,-1.57E-06,9.02E-06
0.6111,17.5,8.96E-07,-1.62E-06,7.66E-06
0.6111,20,6.47E-07,-1.43E-06,6.99E-06
0.6111,25,1.15E-06,-1.19E-06,5.95E-06
0.6111,30,8.41E-07,-9.39E-07,4.91E-06
0.6111,35,5.34E-07,-7.92E-07,3.86E-06
0.6111,40,2.27E-07,-6.45E-07,3.36E-06
0.6111,45,5.00E-07,-4.98E-07,2.86E-06
0.6111,50,7.74E-07,-3.37E-07,2.36E-06
0.6111,60,1.05E-06,-1.76E-07,2.02E-06
0.6111,70,6.78E-07,-1.48E-08,1.68E-06
0.6111,80,3.10E-07,7.80E-09,1.34E-06
0.6111,90,-5.89E-08,3.04E-08,1.03E-06
0.6111,100,1.15E-06,5.30E-08,7.15E-07
0.6671,0,-2.42E-07,-1.79E-06,1.82E-05
0.6671,2.5,-3.16E-07,-8.49E-07,1.58E-05
0.6671,5,-2.09E-07,-1.10E-06,1.32E-05
0.6671,7.5,2.98E-08,-1.19E-06,1.12E-05
0.6671,10,-7.54E-08,-1.03E-06,9.68E-06
0.6671,12.5,-7.94E-08,-1.33E-06,8.21E-06
0.6671,15,-6.44E-07,-1.33E-06,7.55E-06
0.6671,17.5,-6.46E-07,-1.14E-06,6.92E-06
0.6671,20,-5.11E-07,-6.28E-07,6.47E-06
0.6671,25,-6.61E-07,-7.37E-07,5.56E-06
0.6671,30,-6.81E-07,-8.45E-07,4.65E-06
0.6671,35,-7.02E-07,-8.91E-07,3.73E-06
0.6671,40,-7.22E-07,-9.37E-07,3.25E-06
0.6671,45,-7.19E-07,-9.83E-07,2.77E-06
0.6671,50,-7.16E-07,-7.92E-07,2.29E-06
0.6671,60,-7.12E-07,-6.00E-07,1.86E-06
0.6671,70,-5.80E-07,-4.08E-07,1.43E-06
0.6671,80,-4.48E-07,-3.49E-07,1.01E-06
0.6671,90,-3.15E-07,-2.90E-07,1.04E-06
0.6671,100,-2.86E-07,-2.31E-07,1.07E-06
0.6941,0,-7.69E-07,2.12E-07,1.61E-05
