Sample,AF,x,y,z
0,0,7.290463557664902,-0.12809615617176665,-414.99342489140577
0,5,-1.024405579018811,-0.00443445047248962,-236.65088356826325
0,10,-0.7208812811778856,-0.0038656170976067447,-134.43579120096453
0,15,1.4252614054334818,-0.018893640693279423,-107.52552055939337
0,20,-2.2872274513839055,-0.07527898364340303,-69.53125370190939
0,25,-0.2667302814846257,-0.001577264184074526,-45.10740030079129
0,30,-0.04458921922099416,-4.6272676921740165e-05,-42.9670309474555
0,35,-0.030452173492715683,-4.09554997224304e-05,-22.642519695559148
0,40,-0.0425816744152984,-0.00010176233834721401,-17.818027801237026
0,45,-0.04564904774090865,-0.00018112015720206772,-11.505356411092603
0,50,0.14809081706512897,-0.003271202381835644,-6.70586447076506
0,60,-0.09887697871052974,-0.0014615785814218248,-6.689838706480319
0,70,0.014971877743794371,-4.516750786606727e-05,-4.962818490879196
0,80,-0.009794593444346533,-2.5478368446562186e-05,-3.765326869902258
0,90,-0.09131370034757133,-0.002554652106595401,-3.2652016824784336
0,100,-0.005062610346856151,-9.689714716745668e-06,-2.645079986208657
1,0,-5.501260334975998,-0.08770055639590262,-345.12564077735897
1,5,-0.43910287104987045,-0.0007864509082465195,-245.16678484920612
1,10,2.402567300208749,-0.0365923905710253,-157.76501629565175
1,15,-1.5548244221065235,-0.023303147049466667,-103.7521018741302
1,20,-0.5240817017726248,-0.004125641526968992,-66.57634665168135
1,25,-1.4594027040671607,-0.038901769301769536,-54.769045993110225
1,30,0.5722140009793235,-0.00859502181425074,-38.099472591286165
1,35,0.0494074954623583,-0.00011838094833907613,-20.6207810389009
1,40,-0.06466608070246167,-0.00023542274007837014,-17.762641382337392
1,45,-0.31586815242159094,-0.009653975823638795,-10.339706695466369
1,50,0.12760223295395595,-0.0019418790152642023,-8.385803165251751
1,60,-0.03173884983726429,-0.00015986498903483562,-6.301363252833457
1,70,0.1066975750001399,-0.002689794328083337,-4.233777026819582
1,80,-0.09062632119179267,-0.0024996167300189286,-3.2870053404834025
1,90,0.12678213745152514,-0.005589082345353618,-2.878705433594122
1,100,0.031854132446158485,-0.0003411455285946782,-2.974519251490624
2,0,4.803591039245533,-0.06092890538961516,-378.74212273897643
2,5,-2.6839958358857356,-0.02823627703868549,-255.14101132465188
2,10,2.432597923658055,-0.03657748459515872,-161.7990313459449
2,15,-2.086014578587896,-0.03681697875262812,-118.20998522213503
2,20,-0.40550109890066866,-0.00210416823639728,-78.14648663182288
2,25,0.6816601734870277,-0.010711875766545875,-43.38343450261818
2,30,-0.7414090594380567,-0.017884966280016082,-30.743547265171397
2,35,0.11893206779168142,-0.0006926388914747193,-20.42200747834238
2,40,0.6297511595342435,-0.02455691792909712,-16.161960171668643
2,45,0.20077896584171617,-0.003127722722589315,-12.890236037002882
2,50,-0.06759619849747246,-0.0006085763690943084,-7.508394118155213
2,60,-0.16795273417434747,-0.0040758405123516115,-6.922848390778149
2,70,0.033393142070449355,-0.00028216568544579086,-3.9520813581630754
2,80,-0.03392747039264265,-0.00023660889508990987,-4.864995622208178
