cmbsf,field,x,y,z
13,0,-6.23457E-05,-3.88326E-05,0.000203272
13,5,-1.29967E-05,-1.85743E-05,0.000189755
13,10,-6.11478E-06,-1.74341E-05,0.000174388
13,15,-4.26081E-06,-1.63178E-05,0.000159918
13,20,-3.12949E-06,-1.53858E-05,0.000147329
13,25,-2.47136E-06,-1.38461E-05,0.000133985
13,30,-1.67534E-06,-1.16227E-05,0.00012069
13,35,-9.73984E-07,-1.08127E-05,0.000108339
13,40,-9.47996E-07,-9.61046E-06,9.89454E-05
13,45,-4.82783E-07,-8.92525E-06,8.7835E-05
13,50,3.74908E-08,-7.86036E-06,7.73703E-05
13,60,-5.80359E-08,-6.76305E-06,6.0583E-05
13,70,7.96166E-07,-5.53829E-06,4.70567E-05
13,80,1.20917E-06,-4.09933E-06,3.7606E-05
13,90,1.40469E-06,-3.94949E-06,2.9195E-05
13,100,1.25841E-06,-3.26877E-06,2.23781E-05
15.5,0,-2.53049E-05,-3.35797E-05,0.000203395
15.5,5,-7.9456E-06,-1.83478E-05,0.000191792
15.5,10,-1.58464E-06,-1.6215E-05,0.000174431
15.5,15,-5.25258E-07,-1.51476E-05,0.000161335
15.5,20,2.38995E-07,-1.41104E-05,0.000147967
15.5,25,6.65562E-07,-1.2949E-05,0.000135425
15.5,30,1.23038E-06,-1.13221E-05,0.000122464
15.5,35,7.2806E-07,-9.93674E-06,0.000109889
15.5,40,1.69642E-06,-9.62428E-06,0.000101133
15.5,45,1.95266E-06,-8.61202E-06,9.01966E-05
15.5,50,2.32211E-06,-7.77955E-06,7.92595E-05
15.5,60,2.21456E-06,-5.84834E-06,6.27151E-05
15.5,70,1.75789E-06,-5.28819E-06,4.83509E-05
15.5,80,1.90496E-06,-4.16824E-06,3.87096E-05
15.5,90,1.33662E-06,-3.54743E-06,3.064E-05
15.5,100,1.79946E-06,-2.89209E-06,2.35451E-05
18,0,-3.95667E-05,-2.81542E-05,0.000209012
18,5,-1.92283E-05,-1.60073E-05,0.000202923
18,10,-1.2799E-05,-1.50712E-05,0.000186064
18,15,-1.06607E-05,-1.39659E-05,0.000170578
18,20,-9.27486E-06,-1.26765E-05,0.000156729
18,25,-8.41109E-06,-1.12883E-05,0.000143188
18,30,-7.17078E-06,-1.03746E-05,0.000128431
